approach,r2,rmse,importance,feature
xgb_gain,0.0,0.0,0.0,dg_pca_feature_46
xgb_gain,0.0,0.0,0.0,dg_pca_feature_47
xgb_gain,0.0,0.0,0.0,dg_pca_feature_48
xgb_gain,0.0,0.0,0.0,dg_pca_feature_49
xgb_gain,0.0,0.0,0.0,dg_pca_feature_50
xgb_gain,0.0,0.0,0.0,dg_pca_feature_51
xgb_gain,0.0,0.0,0.0,dg_pca_feature_52
xgb_gain,0.0,0.0,0.0,dg_pca_feature_53
xgb_gain,0.0,0.0,0.0,dg_pca_feature_54
xgb_gain,0.0,0.0,0.0399999991059303,dg_pca_feature_55
xgb_gain,0.0,0.0,0.0599999986588955,dg_pca_feature_56
xgb_gain,0.0,0.0,0.0,dg_pca_feature_57
xgb_gain,0.0,0.0,0.0,dg_pca_feature_58
xgb_gain,0.0,0.0,0.0,dg_pca_feature_59
xgb_gain,0.0,0.0,0.0,dg_pca_feature_60
xgb_gain,0.0,0.0,0.0299999993294477,dg_pca_feature_61
xgb_gain,0.0,0.0,0.0,dg_pca_feature_62
xgb_gain,0.0,0.0,0.0,dg_pca_feature_63
xgb_gain,0.0,0.0,0.0,dg_pca_feature_64
xgb_gain,0.0,0.0,0.0,dg_pca_feature_65
xgb_gain,0.0,0.0,0.0,dg_pca_feature_66
xgb_gain,0.0,0.0,0.0,dg_pca_feature_67
xgb_gain,0.0,0.0,0.0,dg_pca_feature_68
xgb_gain,0.0,0.0,0.0500000007450581,dg_pca_feature_69
xgb_gain,0.0,0.0,0.0,dg_pca_feature_70
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_71
xgb_gain,0.0,0.0,0.0,dg_pca_feature_72
xgb_gain,0.0,0.0,0.0,dg_pca_feature_73
xgb_gain,0.0,0.0,0.0,dg_pca_feature_74
xgb_gain,0.0,0.0,0.0,dg_pca_feature_75
xgb_gain,0.0,0.0,0.0,dg_pca_feature_76
xgb_gain,0.0,0.0,0.0,dg_pca_feature_77
xgb_gain,0.0,0.0,0.0,dg_pca_feature_78
xgb_gain,0.0,0.0,0.0,dg_pca_feature_79
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_80
xgb_gain,0.0,0.0,0.0,dg_pca_feature_81
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_82
xgb_gain,0.0,0.0,0.0,dg_pca_feature_83
xgb_gain,0.0,0.0,0.0,dg_pca_feature_84
xgb_gain,0.0,0.0,0.0,dg_pca_feature_85
xgb_gain,0.0,0.0,0.0,dg_pca_feature_86
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_87
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_88
xgb_gain,0.0,0.0,0.0,dg_pca_feature_89
xgb_gain,0.0,0.0,0.0,dg_pca_feature_90
xgb_gain,0.0,0.0,0.0,dg_pca_feature_91
xgb_gain,0.0,0.0,0.0,dg_pca_feature_92
xgb_gain,0.0,0.0,0.0,dg_pca_feature_93
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_94
xgb_gain,0.0,0.0,0.0,dg_pca_feature_95
xgb_gain,0.0,0.0,0.0,dg_pca_feature_96
xgb_gain,0.0,0.0,0.0,dg_pca_feature_97
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_98
xgb_gain,0.0,0.0,0.0,dg_pca_feature_99
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_100
xgb_gain,0.0,0.0,0.0199999995529652,road_density
xgb_gain,0.0,0.0,0.0,if_urban_builtup
xgb_gain,0.0,0.0,0.0199999995529652,elevation
xgb_gain,0.0,0.0,0.0,slope
xgb_gain,0.0,0.0,0.0,precipitation
xgb_gain,0.0,0.0,0.0,population
xgb_gain,0.0,0.0,0.0299999993294477,cell_tower_count
xgb_gain,0.0,0.0,0.0,wifi_count
xgb_gain,0.0,0.0,0.0299999993294477,num_mobile_devices
xgb_gain,0.0,0.0,0.0399999991059303,num_android_devices
xgb_gain,0.0,0.0,0.0,num_ios_devices
xgb_gain,0.0,0.0,0.1000000014901161,radiance
xgb_gain,0.0,0.0,0.0399999991059303,dg_pca_feature_1
xgb_gain,0.0,0.0,0.0,dg_pca_feature_2
xgb_gain,0.0,0.0,0.0,dg_pca_feature_3
xgb_gain,0.0,0.0,0.0,dg_pca_feature_4
xgb_gain,0.0,0.0,0.0,dg_pca_feature_5
xgb_gain,0.0,0.0,0.0,dg_pca_feature_6
xgb_gain,0.0,0.0,0.0,dg_pca_feature_7
xgb_gain,0.0,0.0,0.0,dg_pca_feature_8
xgb_gain,0.0,0.0,0.0500000007450581,dg_pca_feature_9
xgb_gain,0.0,0.0,0.0,dg_pca_feature_10
xgb_gain,0.0,0.0,0.0,dg_pca_feature_11
xgb_gain,0.0,0.0,0.0,dg_pca_feature_12
xgb_gain,0.0,0.0,0.0,dg_pca_feature_13
xgb_gain,0.0,0.0,0.0,dg_pca_feature_14
xgb_gain,0.0,0.0,0.0,dg_pca_feature_15
xgb_gain,0.0,0.0,0.0,dg_pca_feature_16
