iso2,GEOLEVEL2,rwi_weight,geolev2,rwi,country,pop_sum
LS,426010072,-0.22987688700149486,426010072,-1.337447977693849,Lesotho,55959.91898233072
LS,426010074,0.1926690784332631,426010074,-0.9396387890526706,Lesotho,24939.193751610386
LS,426010075,-0.2302804270488278,426010075,-1.4374788947087982,Lesotho,32100.707279385337
MX,1,0.8764129307537527,1,0.769865764281307,Mexico,1352959.2015120867
MX,2,0.8532184431247429,2,0.8357761995053277,Mexico,3576064.1105361716
MX,3,0.8773800906087829,3,0.8415445977021294,Mexico,806705.7683225828
MX,4,0.6566774431098652,4,-0.4547285000554756,Mexico,880496.2438729814
MX,5,0.8696594104978298,5,0.7935802389271619,Mexico,3137521.4929383798
MX,6,0.7654741014039923,6,0.769865764281307,Mexico,754471.4620510391
MX,7,0.32077849152108356,7,-1.1261474709587005,Mexico,5523962.104428034
MX,8,0.861799480164316,8,0.3369439045884892,Mexico,3708389.087433171
MX,9,1.1453502862578058,9,1.0752740208613218,Mexico,9188896.008948227
MX,10,0.681039452874901,10,0.15259860800590608,Mexico,1817830.6750646562
MX,11,0.7653535266325322,11,0.6799030918341129,Mexico,6334390.293522854
MX,12,0.4497141800118646,12,-0.9280376465237948,Mexico,3749127.579010393
MX,13,0.49764135221187505,13,0.10380763499396277,Mexico,3183927.8412479484
MX,14,1.004806332918348,14,0.9769795686562536,Mexico,8426070.051679544
MX,15,0.8689531833599416,15,0.5311559657803944,Mexico,17145956.680892296
MX,16,0.7143454582577308,16,0.3344337416609352,Mexico,4919053.50543148
MX,17,0.8990604182117414,17,0.2821954332686637,Mexico,2021988.0465590768
MX,18,0.6356629039219447,18,0.3028377475349696,Mexico,1258581.383318097
MX,19,0.9224270502290396,19,0.9346105866415434,Mexico,5919773.9058127245
MX,20,0.30955966947024716,20,-0.9282039182921556,Mexico,4264808.014596529
MX,21,0.6251501373297679,21,-0.2696229196032353,Mexico,6402902.87412081
MX,22,0.8184055572945358,22,0.5905181315571306,Mexico,2162221.41276192
MX,23,0.9259949703373724,23,0.6784361149925089,Mexico,1556644.5929772214
MX,24,0.5873771924046058,24,-0.29823754199218105,Mexico,2851770.4632585016
MX,25,0.6670959889869114,25,0.7382697701553415,Mexico,2964515.9339781026
MX,26,0.8187050299766627,26,0.5718636241882753,Mexico,3026300.9500498064
MX,27,0.48439283952160334,27,-0.24761469568052866,Mexico,2569689.3373200614
MX,28,0.8393063807519913,28,0.6540089707554808,Mexico,3670923.970781094
MX,29,0.7516537030091529,29,0.4991785640211722,Mexico,1304604.9452513028
MX,30,0.5225930075970796,30,-0.4335850744113157,Mexico,8343485.138321943
MX,31,0.7830424939081745,31,-0.07996650552863628,Mexico,2151301.864010172
MX,32,0.5352727226922038,32,0.5864664345522149,Mexico,1673339.0768545973
NI,558005001,-0.24193157549615835,558005001,-1.0683751602187863,Nicaragua,483216.13382963784
NI,558005002,0.13739904422925478,558005002,-0.7317338019061972,Nicaragua,69099.11635052384
NI,558005003,-0.1306906219752137,558005003,-0.9041988064523988,Nicaragua,53695.410882991106
NI,558005004,0.8983800453382822,558005004,-0.1502256500423723,Nicaragua,47703.48501768648
NI,558005005,-0.1446988919666147,558005005,-1.0271363272629972,Nicaragua,37224.728595172935
NI,558005006,-0.16266025405690174,558005006,-1.0289441277960716,Nicaragua,30950.776432493392
NI,558005007,-0.2029674689472805,558005007,-1.0271363272629972,Nicaragua,27511.616142697465
NI,558020001,0.12222384343405066,558020001,-0.5478818718064365,Nicaragua,39536.3887957737
NI,558020002,-0.1246708987376121,558020002,-0.8993613874680787,Nicaragua,32352.370376666026
NI,558020003,-0.23194093168826901,558020003,-0.9972058821696986,Nicaragua,26749.465136592487
NI,558020004,-0.16121152844985157,558020004,-1.0557306401803148,Nicaragua,25433.281011380113
NI,558020005,-0.08527374926374531,558020005,-1.0279560159702752,Nicaragua,26853.45872223139
NI,558025001,0.5771187620552541,558025001,0.7137240115841678,Nicaragua,180253.91432442176
NI,558025002,0.515094008172837,558025002,0.4445613068167584,Nicaragua,129222.97319206837
NI,558025003,-0.02921448673091533,558025003,-1.0492849590524944,Nicaragua,44760.07781924383
NI,558025004,0.03561839308955261,558025004,-0.5867443986179444,Nicaragua,36458.22575895634
NI,558025005,0.14256452088470636,558025005,0.043436132873950484,Nicaragua,32472.361041661603
NI,558025006,0.11809324733595648,558025006,-0.4829235884898709,Nicaragua,36507.79923294512
NI,558025007,0.13024015720173707,558025007,-0.3290286480556497,Nicaragua,29861.799938869914
NI,558025008,0.044690591778108184,558025008,-0.7351702333781933,Nicaragua,30808.86205274632
NI,558025009,-0.1312821981701603,558025009,-1.0429736629834216,Nicaragua,29137.66398634491
NI,558025010,-0.22260703526361222,558025010,-0.7498824888295358,Nicaragua,24877.183972697567
NI,558025011,0.003513361609406609,558025011,-0.5400356252503329,Nicaragua,18981.111491880813
NI,558030001,0.5911467394819794,558030001,0.13633850748673831,Nicaragua,150024.8262543196
NI,558030002,-0.059505149406670975,558030002,-0.5926432792340235,Nicaragua,85071.26361586056
NI,558030003,0.5573544089544405,558030003,0.19668897653398348,Nicaragua,42140.529020921014
NI,558030004,0.050252152580104056,558030004,-0.7109661011932294,Nicaragua,32675.930671576043
NI,558030005,0.3042182086537597,558030005,0.5484641572234428,Nicaragua,24258.65705810064
NI,558030006,-0.12244857142433166,558030006,-0.8417843906736286,Nicaragua,30556.127303661233
NI,558030007,-0.14619669567331914,558030007,-0.9547790475244384,Nicaragua,30851.34930674751
NI,558040001,-0.31647033194089536,558040001,-1.05545709904284,Nicaragua,514774.41984555166
NI,558040002,-0.2441655370601846,558040002,-1.0776786532809,Nicaragua,400801.97762690973
NI,558040003,0.08560114363625874,558040003,-0.6801358695964042,Nicaragua,254076.18666307643
NI,558040004,0.03321801462624173,558040004,-0.6884824932961199,Nicaragua,74323.70564029418
NI,558040005,0.41602025681555743,558040005,-0.1746033949716175,Nicaragua,53380.75244392036
NI,558040006,-0.22243807903946697,558040006,-1.1239002702197725,Nicaragua,46349.69191995084
NI,558040007,-0.1483124285986044,558040007,-0.8167673111421558,Nicaragua,30806.698557476542
NI,558040008,-0.12220552304399346,558040008,-1.0337694896077023,Nicaragua,55648.71137624382
NI,558050001,-0.04067840754862433,558050001,-0.8555271830813629,Nicaragua,55247.56252656412
NI,558050002,-0.19297796030719422,558050002,-0.9203263237885192,Nicaragua,43291.25063614627
NI,558050003,-0.09339366731025191,558050003,-0.8908455117005084,Nicaragua,34918.7487472102
NI,558050004,-0.101550202735005,558050004,-0.7789126824639694,Nicaragua,29858.9949949069
NI,558055001,1.0554895762368477,558055001,1.1714025986359344,Nicaragua,1005635.5562660439
NI,558055002,0.6736197071054861,558055002,0.20506139402076404,Nicaragua,169812.2526465376
NI,558055003,0.41715822626620214,558055003,0.08950027999848048,Nicaragua,153684.88162349153
NI,558055004,0.7670275160377558,558055004,0.6446800136821064,Nicaragua,72155.47750321143
NI,558055005,0.5465330904170165,558055005,-0.15396186403531076,Nicaragua,46237.61092557766
NI,558055006,0.5768267336147009,558055006,-0.2640293471249758,Nicaragua,68376.59920098785
NI,558055007,0.6983280467691635,558055007,0.20263558789647695,Nicaragua,51924.76630030026
NI,558055008,0.25693453799082894,558055008,-0.2763612971888024,Nicaragua,17203.019797237714
NI,558055009,0.018807211450710626,558055009,-0.6401288248537762,Nicaragua,32296.590941496524
NI,558065001,0.3504014554298177,558065001,0.095130969829822,Nicaragua,72017.07086294332
NI,558065002,-0.02547022667990347,558065002,-0.16498360553071395,Nicaragua,35808.979073066344
