approach,r2,rmse
xgb_satellite_pca_100,0.3388017871643119,0.6771043166634062
xgb_satellite_pca_100,0.4068571125639178,0.5637788882136074
xgb_satellite_pca_100,0.2928311958664361,0.4624606268388664
xgb_satellite_pca_100,0.1837447282261455,0.7416643387917046
xgb_satellite_pca_100,0.3214441954173026,0.5930487484875006
xgb_satellite_pca_100,0.4674134742044554,0.5127106198832087
xgb_satellite_pca_100,0.3313652507458472,0.6547462749161137
xgb_satellite_pca_100,0.50641645660464,0.4722814678141411
xgb_satellite_pca_100,0.3931500385842597,0.6680539952313311
xgb_satellite_pca_100,0.3851653784352305,0.4909123946728118
xgb_satellite_pca_100,0.5241252224391231,0.3735024403362474
xgb_satellite_pca_100,0.3433562855184631,0.6361420389334101
xgb_satellite_pca_100,0.3936317231836469,0.303708940274216
xgb_satellite_pca_100,0.3903612805048411,0.6319236951125154
xgb_satellite_pca_100,0.3871344818528752,0.5874621169443265
xgb_satellite_pca_100,0.5200124677246519,0.5087565504279945
xgb_satellite_pca_100,0.5397836299531588,0.5938939050463165
xgb_satellite_pca_100,0.2712064814076405,0.6538866309063274
xgb_satellite_pca_100,0.6297461774710699,0.4482188577842306
xgb_satellite_pca_100,0.3833843562738704,0.4843602214249975
xgb_satellite_pca_100,0.5092637361002089,0.5362748797756054
xgb_satellite_pca_100,0.26123794851424,0.523544322103561
xgb_satellite_pca_100,0.4055537444263992,0.4744025646163289
xgb_satellite_pca_100,0.1141436871211939,0.6744817317091047
xgb_satellite_pca_100,0.5534840862069325,0.4731461747902142
xgb_satellite_pca_100,0.3183879755262942,0.3775543581042713
xgb_satellite_pca_100,0.5874634970442761,0.5683160620719363
xgb_satellite_pca_100,0.3499825421380235,0.5173346623580038
xgb_satellite_pca_100,0.1974945053706246,0.4220270987592196
xgb_satellite_pca_100,0.3692766105088395,0.4451420645831931
xgb_satellite_pca_100,0.2625595598150287,0.6333402029633216
xgb_satellite_pca_100,0.4582665924178498,0.5046099438711404
xgb_satellite_pca_100,0.3080052195845425,0.4682510974588107
xgb_satellite_pca_100,0.5246536233223626,0.6414925971269207
xgb_satellite_pca_100,0.2550102026342794,0.6835637084015109
xgb_satellite_pca_100,0.4350654307160483,0.5217999141668338
xgb_geo_fb_no_satellite,0.4346330618842986,0.5069130755512191
xgb_geo_fb_no_satellite,0.5685350716958134,0.4522730778316675
xgb_geo_fb_no_satellite,0.6118805061750665,0.3575684229855295
xgb_geo_fb_no_satellite,0.4764052958713005,0.5573046548232008
xgb_geo_fb_no_satellite,0.5387324930377119,0.5169884294665775
xgb_geo_fb_no_satellite,0.562125106741617,0.2614699797761239
xgb_geo_fb_no_satellite,0.4304953167521703,0.4807461804411113
xgb_geo_fb_no_satellite,0.4390838741062978,0.5509126217640519
xgb_geo_fb_no_satellite,0.6105852092051953,0.5060342661992011
xgb_geo_fb_no_satellite,0.7251948142823219,0.4427261825225476
xgb_geo_fb_no_satellite,0.7048669324499522,0.4403054504374754
xgb_geo_fb_no_satellite,0.4252269329215452,0.3353883676037921
xgb_geo_fb_no_satellite,0.4946873354212869,0.4514364469891528
xgb_geo_fb_no_satellite,0.6313382569670352,0.2682857599616419
xgb_geo_fb_no_satellite,0.6274363228895072,0.4597717955085764
xgb_geo_fb_no_satellite,0.5872914107510259,0.4197452804687262
xgb_geo_fb_no_satellite,0.4364950118685121,0.6073285811165874
xgb_geo_fb_no_satellite,0.4812725406091427,0.543583559696622
xgb_geo_fb_no_satellite,0.6785910688342264,0.3180680166265311
xgb_geo_fb_no_satellite,0.7237556327339868,0.4277587342483058
xgb_geo_fb_no_satellite,0.5868090459400117,0.4515407682180739
xgb_geo_fb_no_satellite,0.4845739249278116,0.6394536594776858
xgb_geo_fb_no_satellite,0.5893675524906825,0.4457623280112031
xgb_geo_fb_no_satellite,0.49276195766252,0.4091032969518422
xgb_geo_fb_no_satellite,0.5497169081168415,0.5389290014100734
